epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
27,249,,,0.006818048655986786,,
27,251,,,,1.0,0.015085238963365555
28,254,,,0.003930934239178896,,
28,259,,,0.0034866472706198692,,
28,260,,,,1.0,0.014494533650577068
29,264,,,0.005321034695953131,,
29,269,,,0.020799219608306885,,
29,269,,,,1.0,0.014484264887869358
30,274,,,0.00465629156678915,,
30,278,,,,1.0,0.013424146920442581
31,279,,,0.005457377526909113,,
31,284,,,0.006254156585782766,,
31,287,,,,1.0,0.012782535515725613
32,289,,,0.0031885080970823765,,
32,294,,,0.008511642925441265,,
32,296,,,,1.0,0.011619609780609608
33,299,,,0.005935955327004194,,
33,304,,,0.011104937642812729,,
33,305,,,,1.0,0.011198755353689194
34,309,,,0.007614922244101763,,
34,314,,,0.004293491598218679,,
34,314,,,,1.0,0.011239043436944485
35,319,,,0.0012676529586315155,,
35,323,,,,1.0,0.011162685230374336
36,324,,,0.008991006761789322,,
36,329,,,0.0032517726067453623,,
36,332,,,,1.0,0.010808374732732773
37,334,,,0.011975768953561783,,
37,339,,,0.002544494578614831,,
37,341,,,,1.0,0.010616687126457691
38,344,,,0.007409802637994289,,
38,349,,,0.006084080319851637,,
38,350,,,,1.0,0.009988099336624146
39,354,,,0.003687760327011347,,
39,359,,,0.0024600562173873186,,
39,359,,,,1.0,0.010120522230863571
40,364,,,0.004914517980068922,,
40,368,,,,1.0,0.009656443260610104
41,369,,,0.004420019686222076,,
41,374,,,0.00538479071110487,,
41,377,,,,1.0,0.009546484798192978
42,379,,,0.004631098359823227,,
42,384,,,0.0029168291948735714,,
42,386,,,,1.0,0.008825980126857758
43,389,,,0.004002658650279045,,
43,394,,,0.006962276995182037,,
43,395,,,,1.0,0.008617597632110119
44,399,,,0.0024626823142170906,,
44,404,,,0.0025547477416694164,,
44,404,,,,1.0,0.008802413940429688
45,409,,,0.002026218920946121,,
45,413,,,,1.0,0.008514386601746082
46,414,,,0.0022874418646097183,,
46,419,,,0.0037112771533429623,,
46,422,,,,1.0,0.008894512429833412
47,424,,,0.00998564250767231,,
47,429,,,0.0006762389675714076,,
47,431,,,,1.0,0.008428758010268211
48,434,,,0.007484440691769123,,
48,439,,,0.0037030940875411034,,
48,440,,,,1.0,0.008160811848938465
49,444,,,0.0019454883877187967,,
49,449,,,0.0018555241404101253,,
49,449,,,,1.0,0.008288932964205742
50,454,,,0.002535273553803563,,
50,458,,,,1.0,0.0077050053514540195
51,459,,,0.004153389483690262,,
51,464,,,0.004804097581654787,,
51,467,,,,1.0,0.007767330389469862
52,469,,,0.0007125578122213483,,
52,474,,,0.001409426680766046,,
52,476,,,,1.0,0.007919583469629288
53,479,,,0.0016857138834893703,,
53,484,,,0.0029329813551157713,,
53,485,,,,1.0,0.007415345869958401
54,489,,,0.0013154319021850824,,
54,494,,,0.0026984114665538073,,
54,494,,,,1.0,0.007440387271344662
55,499,,,0.0007214691722765565,,
55,503,,,,1.0,0.007097078487277031
56,504,,,0.0058446116745471954,,
56,509,,,0.0020126085728406906,,
56,512,,,,1.0,0.007105614524334669
57,514,,,0.0005361532676033676,,
57,519,,,0.0005352477892301977,,
57,521,,,,1.0,0.0072479452937841415
58,524,,,0.00021099860896356404,,
58,529,,,0.0015603142092004418,,
58,530,,,,1.0,0.0070722345262765884
59,534,,,0.0029031559824943542,,
59,539,,,0.0014862579992040992,,
59,539,,,,1.0,0.006909373216331005
60,544,,,0.001865698373876512,,
60,548,,,,1.0,0.00690274965018034
61,549,,,0.002865664893761277,,
61,554,,,0.0013036344898864627,,
61,557,,,,1.0,0.006764455232769251
62,559,,,0.00025153913884423673,,
62,564,,,0.004478802904486656,,
62,566,,,,1.0,0.006973428651690483
63,569,,,0.0009296431671828032,,
63,574,,,0.0028886927757412195,,
63,575,,,,1.0,0.0069194878451526165
64,579,,,0.00028047175146639347,,
64,584,,,0.0010420220205560327,,
64,584,,,,1.0,0.006800896022468805
65,589,,,0.0013576735509559512,,
65,593,,,,1.0,0.00671031279489398
66,594,,,0.002326939720660448,,
66,599,,,0.003037464339286089,,
66,602,,,,1.0,0.006656432058662176
67,604,,,0.003389523131772876,,
67,609,,,0.0031791245564818382,,
67,611,,,,1.0,0.006391509436070919
68,614,,,0.0020447983406484127,,
68,619,,,0.0003782208950724453,,
68,620,,,,1.0,0.006305810995399952
69,624,,,0.0020855371840298176,,
69,629,,,0.0019726541358977556,,
69,629,,,,1.0,0.006267645861953497
70,634,,,0.0010377891594544053,,
70,638,,,,1.0,0.006412369664758444
71,639,,,0.0006462255259975791,,
71,644,,,0.003155432641506195,,
71,647,,,,1.0,0.0063912104815244675
72,649,,,0.00015854697267059237,,
72,654,,,0.00235441280528903,,
72,656,,,,1.0,0.006208500359207392
73,659,,,0.0006388382171280682,,
73,664,,,0.0026687344070523977,,
73,665,,,,1.0,0.0060899038799107075
74,669,,,0.0015469971112906933,,
74,674,,,0.0005714051076211035,,
74,674,,,,1.0,0.006161478813737631
75,679,,,0.0011532558128237724,,
75,683,,,,1.0,0.006144433282315731
76,684,,,0.0010617796797305346,,
76,689,,,0.0007034203736111522,,
76,692,,,,1.0,0.0061801038682460785
77,694,,,0.001740644103847444,,
77,699,,,0.00019937282195314765,,
77,701,,,,1.0,0.00608309730887413
78,704,,,0.002118931617587805,,
78,709,,,0.0011444328119978309,,
78,710,,,,1.0,0.00590482959523797
79,714,,,0.0012420422863215208,,
79,719,,,0.00013377411232795566,,
79,719,,,,1.0,0.005867812782526016
80,724,,,0.00046515947906300426,,
80,728,,,,1.0,0.006092769093811512
81,729,,,0.0014616403495892882,,
81,734,,,0.001543418038636446,,
81,737,,,,1.0,0.005835053510963917
82,739,,,0.001112978789024055,,
82,744,,,0.0008653495460748672,,
82,746,,,,1.0,0.0057685235515236855
83,749,,,0.0021415031515061855,,
83,754,,,0.00022306240862235427,,
83,755,,,,1.0,0.005723316688090563
84,759,,,0.0006435129325836897,,
84,764,,,0.0011287032393738627,,
84,764,,,,1.0,0.005680489353835583
85,769,,,0.0009565795189701021,,
85,773,,,,1.0,0.0055327159352600574
86,774,,,0.0007290626526810229,,
86,779,,,0.0004634567885659635,,
86,782,,,,1.0,0.005643798038363457
87,784,,,0.0010725781321525574,,
87,789,,,0.0010569427395239472,,
87,791,,,,1.0,0.005704973358660936
88,794,,,0.0012291583698242903,,
88,799,,,0.0002589591022115201,,
88,800,,,,1.0,0.0057265241630375385
89,804,,,0.00010503588418941945,,
89,809,,,0.0003303701232653111,,
89,809,,,,1.0,0.005489116534590721
90,814,,,0.0008494710782542825,,
90,818,,,,1.0,0.0054908813908696175
91,819,,,0.0009244676912203431,,
91,824,,,0.0008212958928197622,,
91,827,,,,1.0,0.005550937727093697
92,829,,,0.00041564684943296015,,
92,834,,,0.0003965040377806872,,
92,836,,,,1.0,0.005361970514059067
93,839,,,0.00014042883412912488,,
93,844,,,0.00043343243305571377,,
93,845,,,,1.0,0.005371375475078821
94,849,,,0.00047784653725102544,,
94,854,,,0.0006955047720111907,,
94,854,,,,1.0,0.005417684093117714
95,859,,,0.0004476668837014586,,
95,863,,,,1.0,0.005308374762535095
96,864,,,0.0009388767066411674,,
96,869,,,0.0008216161513701081,,
96,872,,,,1.0,0.005446556489914656
97,874,,,0.0011227276409044862,,
97,879,,,0.000244706665398553,,
97,881,,,,1.0,0.00532262260094285
98,884,,,0.00020738955936394632,,
98,889,,,0.0006286506541073322,,
98,890,,,,1.0,0.005315114744007587
99,894,,,0.0007715827669017017,,
99,899,,,0.000907517911400646,,
99,899,,,,1.0,0.005319439806044102
100,900,1.0,0.005319439806044102,,,
