epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.029,1.16163,5.76931,0.01619,0.44669,0.24073,0.23518,0.15026,1.11652,2.50142,0.02453,0.000221855,0.000221855,0.000221855
2,205.553,1.19015,3.41357,0.0174,0.53302,0.35525,0.3916,0.24486,1.21317,2.1415,0.02778,0.000435394,0.000435394,0.000435394
3,290.91,1.23402,2.21272,0.01791,0.47487,0.37906,0.39544,0.24298,1.29248,2.17122,0.02998,0.000640128,0.000640128,0.000640128
4,375.579,1.2256,1.77207,0.01802,0.53739,0.39071,0.42094,0.24391,1.22446,1.98797,0.02769,0.00062738,0.00062738,0.00062738
5,458.925,1.18648,1.54656,0.01693,0.59381,0.43816,0.4837,0.28768,1.23084,2.12255,0.02853,0.000614174,0.000614174,0.000614174
6,541.567,1.17988,1.43373,0.01702,0.54603,0.4579,0.45017,0.263,1.26486,1.98564,0.02974,0.000600967,0.000600967,0.000600967
7,626.234,1.16863,1.32688,0.01667,0.49738,0.44359,0.46216,0.29199,1.17761,1.89498,0.02758,0.00058776,0.00058776,0.00058776
8,711.162,1.15242,1.23465,0.0167,0.49495,0.35486,0.43306,0.27732,1.21706,2.06773,0.02799,0.000574554,0.000574554,0.000574554
9,793.399,1.13652,1.1858,0.01599,0.59143,0.49304,0.4913,0.31712,1.24333,1.84179,0.02756,0.000561347,0.000561347,0.000561347
10,878.747,1.12135,1.12708,0.01604,0.54582,0.51687,0.51079,0.33558,1.17595,1.778,0.02664,0.000548141,0.000548141,0.000548141
11,963.171,1.09731,1.08759,0.01566,0.52617,0.4812,0.48854,0.31355,1.20965,1.92367,0.02781,0.000534934,0.000534934,0.000534934
12,1047.66,1.09662,1.04116,0.01548,0.64503,0.44005,0.50847,0.32974,1.15577,1.88516,0.02553,0.000521727,0.000521727,0.000521727
13,1132.58,1.1025,1.00567,0.01514,0.51182,0.44625,0.45555,0.29658,1.17812,2.11554,0.02641,0.000508521,0.000508521,0.000508521
14,1217.09,1.07636,0.96778,0.01502,0.51939,0.51713,0.52865,0.36022,1.13886,1.76508,0.02559,0.000495314,0.000495314,0.000495314
15,1298.56,1.08107,0.9476,0.01489,0.66255,0.4228,0.50154,0.3331,1.15085,1.98044,0.02567,0.000482108,0.000482108,0.000482108
16,1381.91,1.06562,0.92171,0.01464,0.62167,0.50992,0.5139,0.33497,1.15255,1.88277,0.02624,0.000468901,0.000468901,0.000468901
17,1464,1.03789,0.88859,0.01455,0.58856,0.54447,0.54581,0.35957,1.17195,1.85433,0.02617,0.000455694,0.000455694,0.000455694
18,1547.51,1.03212,0.86376,0.01404,0.59032,0.52856,0.54157,0.3576,1.15557,1.85952,0.02577,0.000442488,0.000442488,0.000442488
19,1633.41,1.0201,0.83502,0.01374,0.55026,0.5073,0.51177,0.33481,1.17832,2.00376,0.02641,0.000429281,0.000429281,0.000429281
20,1720.08,1.01351,0.82096,0.01415,0.65085,0.52653,0.54248,0.36933,1.08926,1.79641,0.02383,0.000416075,0.000416075,0.000416075
21,1804.24,0.99794,0.79873,0.01367,0.64854,0.50608,0.53234,0.35577,1.1406,1.90281,0.02649,0.000402868,0.000402868,0.000402868
22,1891.27,0.98784,0.78277,0.01351,0.71517,0.45541,0.51589,0.34737,1.21339,1.96199,0.02772,0.000389661,0.000389661,0.000389661
23,1978.11,0.98644,0.77727,0.01341,0.57222,0.49961,0.53688,0.34376,1.20425,1.97404,0.02617,0.000376455,0.000376455,0.000376455
24,2065.06,0.97308,0.73973,0.01307,0.62327,0.4913,0.4984,0.33771,1.10175,2.09015,0.02446,0.000363248,0.000363248,0.000363248
25,2151.26,0.96451,0.72622,0.0129,0.59138,0.52073,0.54921,0.36925,1.14627,1.90258,0.02509,0.000350042,0.000350042,0.000350042
26,2235.89,0.96174,0.71725,0.01272,0.61214,0.5103,0.53757,0.35997,1.17673,2.06849,0.02669,0.000336835,0.000336835,0.000336835
27,2318.96,0.94312,0.70278,0.01267,0.63021,0.46383,0.51501,0.34059,1.16522,2.00338,0.02536,0.000323628,0.000323628,0.000323628
