epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.8756,1.01689,5.74504,0.01924,0.51202,0.17108,0.18936,0.12278,1.05886,2.97461,0.0259,0.000236872,0.000236872,0.000236872
2,95.4187,1.08192,4.19791,0.02109,0.4122,0.38296,0.35546,0.22248,1.12725,2.36179,0.02766,0.00046547,0.00046547,0.00046547
3,134.697,1.14087,3.12769,0.02219,0.56263,0.2889,0.31732,0.201,1.09537,2.49985,0.02658,0.000684642,0.000684642,0.000684642
4,172.816,1.12278,2.36815,0.02191,0.57754,0.43699,0.47285,0.30145,1.16148,2.00383,0.0285,0.000671588,0.000671588,0.000671588
5,210.469,1.12266,1.92527,0.02162,0.52516,0.38827,0.44195,0.26918,1.17151,2.14527,0.02862,0.000657451,0.000657451,0.000657451
6,248.265,1.07971,1.66018,0.0212,0.43925,0.40661,0.41618,0.25236,1.19169,2.10727,0.02957,0.000643314,0.000643314,0.000643314
7,283.571,1.08436,1.51622,0.02145,0.49841,0.43041,0.49505,0.33381,1.16424,1.90242,0.02778,0.000629177,0.000629177,0.000629177
8,322.415,1.09006,1.43728,0.0206,0.49366,0.35823,0.40231,0.261,1.21558,2.2044,0.02963,0.00061504,0.00061504,0.00061504
9,360.228,1.06964,1.31801,0.02045,0.51098,0.42038,0.51229,0.32369,1.26538,1.92757,0.0314,0.000600902,0.000600902,0.000600902
10,396.5,1.04083,1.25009,0.01994,0.56331,0.4579,0.485,0.32392,1.15788,2.07986,0.02744,0.000586765,0.000586765,0.000586765
11,434.899,1.0359,1.2004,0.01977,0.55324,0.43029,0.44211,0.28794,1.20317,2.196,0.02899,0.000572628,0.000572628,0.000572628
12,471.41,1.03265,1.1475,0.01922,0.51464,0.37751,0.43702,0.2749,1.18548,2.19372,0.02854,0.000558491,0.000558491,0.000558491
13,509.227,0.99673,1.08903,0.019,0.49499,0.46207,0.45699,0.31287,1.14511,2.23474,0.0268,0.000544354,0.000544354,0.000544354
14,549.032,0.97593,1.02776,0.0187,0.48638,0.45517,0.47685,0.31805,1.19242,2.07564,0.029,0.000530216,0.000530216,0.000530216
15,587.15,0.98822,1.01448,0.01876,0.59434,0.39854,0.46919,0.3019,1.16005,2.1293,0.02804,0.000516079,0.000516079,0.000516079
16,627.346,0.9838,1.01438,0.01842,0.61402,0.43344,0.4835,0.31307,1.16743,2.20973,0.02892,0.000501942,0.000501942,0.000501942
17,663.96,0.97912,0.95093,0.01837,0.5912,0.40285,0.46041,0.29875,1.18957,2.13421,0.02859,0.000487805,0.000487805,0.000487805
18,701.725,0.94868,0.92235,0.01783,0.59728,0.41068,0.46977,0.32004,1.14042,2.343,0.02759,0.000473668,0.000473668,0.000473668
19,739.065,0.92448,0.89111,0.01762,0.58366,0.46137,0.49945,0.33071,1.18527,2.14518,0.02815,0.00045953,0.00045953,0.00045953
20,777.719,0.92238,0.87766,0.01751,0.68303,0.40454,0.53969,0.35872,1.14989,2.04125,0.02752,0.000445393,0.000445393,0.000445393
21,816.252,0.92447,0.84701,0.01725,0.60241,0.41316,0.47324,0.30954,1.13349,2.34988,0.02737,0.000431256,0.000431256,0.000431256
22,851.551,0.90198,0.82067,0.01709,0.59047,0.4229,0.50213,0.33449,1.14531,2.14321,0.02738,0.000417119,0.000417119,0.000417119
23,892.361,0.92281,0.84898,0.01664,0.60626,0.40305,0.47626,0.32838,1.07134,2.2282,0.02574,0.000402982,0.000402982,0.000402982
24,929.236,0.87632,0.78115,0.01632,0.59956,0.40047,0.47902,0.31461,1.13975,2.40459,0.02662,0.000388844,0.000388844,0.000388844
25,966.006,0.87959,0.78746,0.01576,0.57636,0.43112,0.4603,0.31436,1.1386,2.366,0.02715,0.000374707,0.000374707,0.000374707
26,1004.11,0.88268,0.77049,0.01602,0.62313,0.44001,0.50751,0.33884,1.11917,2.23429,0.02632,0.00036057,0.00036057,0.00036057
27,1039.63,0.86305,0.74869,0.01564,0.60735,0.44297,0.50465,0.33628,1.10886,2.21657,0.02592,0.000346433,0.000346433,0.000346433
28,1076.47,0.85965,0.73268,0.01539,0.64953,0.4267,0.47761,0.32178,1.0945,2.45565,0.02564,0.000332296,0.000332296,0.000332296
29,1111.33,0.8479,0.71089,0.01544,0.49126,0.46405,0.47144,0.31096,1.14222,2.54705,0.02676,0.000318158,0.000318158,0.000318158
30,1150.69,0.81424,0.66928,0.01518,0.52344,0.40915,0.46228,0.3187,1.10608,2.44258,0.02568,0.000304021,0.000304021,0.000304021
31,1188.48,0.82325,0.69036,0.01486,0.62745,0.37971,0.45515,0.324,1.06951,2.60308,0.02493,0.000289884,0.000289884,0.000289884
32,1224.97,0.80713,0.65915,0.01489,0.59402,0.43593,0.5011,0.3418,1.07009,2.47884,0.02471,0.000275747,0.000275747,0.000275747
33,1263.38,0.80422,0.65598,0.01453,0.58076,0.45987,0.49369,0.33807,1.08789,2.33437,0.02557,0.00026161,0.00026161,0.00026161
34,1299.3,0.7945,0.64365,0.01393,0.56185,0.45345,0.49835,0.34918,1.06488,2.25673,0.02477,0.000247472,0.000247472,0.000247472
35,1336.78,0.77915,0.628,0.01417,0.64122,0.43809,0.48836,0.33742,1.07574,2.41349,0.02494,0.000233335,0.000233335,0.000233335
36,1376.24,0.79046,0.62304,0.01404,0.612,0.43447,0.49855,0.34699,1.05033,2.38857,0.02446,0.000219198,0.000219198,0.000219198
37,1414.78,0.7698,0.62563,0.01387,0.57064,0.49197,0.5109,0.35006,1.08215,2.25431,0.02523,0.000205061,0.000205061,0.000205061
38,1453.52,0.76505,0.59372,0.01383,0.61396,0.48259,0.53394,0.36298,1.09549,2.2818,0.02562,0.000190924,0.000190924,0.000190924
39,1490.43,0.75361,0.58789,0.0137,0.64865,0.45241,0.50155,0.35901,1.08334,2.36039,0.02503,0.000176786,0.000176786,0.000176786
40,1528.71,0.75172,0.60041,0.01338,0.62451,0.42485,0.51579,0.3635,1.06334,2.42859,0.02441,0.000162649,0.000162649,0.000162649
41,1596.98,0.66909,0.33152,0.01604,0.55926,0.47322,0.48162,0.3368,1.09261,2.41126,0.025,0.000148512,0.000148512,0.000148512
42,1633.81,0.63983,0.28676,0.01498,0.53171,0.47726,0.49282,0.34702,1.01538,2.40138,0.0232,0.000134375,0.000134375,0.000134375
43,1674.25,0.61687,0.2803,0.0145,0.58465,0.43523,0.49268,0.34832,1.03549,2.52097,0.02388,0.000120238,0.000120238,0.000120238
44,1712.24,0.60519,0.26466,0.01415,0.58193,0.44461,0.48809,0.3417,1.05572,2.53111,0.02445,0.0001061,0.0001061,0.0001061
45,1751.74,0.59714,0.25453,0.01359,0.62579,0.44266,0.49746,0.33763,1.06631,2.45593,0.02485,9.19632e-05,9.19632e-05,9.19632e-05
46,1788.57,0.59251,0.25607,0.01355,0.61079,0.44629,0.50562,0.3501,1.06241,2.4743,0.02452,7.7826e-05,7.7826e-05,7.7826e-05
47,1828.22,0.58334,0.25838,0.01331,0.62657,0.44618,0.50509,0.35584,1.04677,2.46451,0.02407,6.36888e-05,6.36888e-05,6.36888e-05
48,1865.63,0.56577,0.23925,0.01278,0.58285,0.4607,0.49758,0.35192,1.07342,2.50087,0.02482,4.95516e-05,4.95516e-05,4.95516e-05
49,1904.63,0.56432,0.24476,0.01264,0.56214,0.46857,0.4932,0.34656,1.05396,2.51329,0.02403,3.54144e-05,3.54144e-05,3.54144e-05
50,1944.55,0.56788,0.24945,0.01292,0.6104,0.46229,0.49967,0.34688,1.05961,2.46406,0.02433,2.12772e-05,2.12772e-05,2.12772e-05
